,avg,cik,tot,year
712,0.24117552262057582,97216,14,2008
713,0.22068404731965288,97216,16,2009
714,0.22216274469225086,97216,15,2010
715,0.24708233776638983,97216,15,2011
716,0.17155013102404926,97216,20,2012
717,0.20070659308489058,97216,12,2013
718,0.17776117087439708,97216,10,2014
719,0.19342186084765808,97216,13,2015
720,0.3013578440423361,720005,5,2003
721,0.20456777801602571,720005,12,2004
722,0.15859126868049014,720005,16,2005
723,0.15227660174016416,720005,13,2006
724,0.16388657768784468,720005,14,2007
725,0.26610960258808786,720005,18,2008
726,0.25235258005976957,720005,20,2009
727,0.22503651812116257,720005,21,2010
728,0.2152201715022204,720005,24,2011
729,0.1709162764875432,720005,22,2012
730,0.19904579587017326,720005,19,2013
731,0.19340858131817096,720005,15,2014
732,0.18981329642445408,720005,18,2015
733,0.47552068140982817,835887,2,2001
734,0.2387650330944806,835887,8,2003
735,0.17111889244173276,835887,17,2004
736,0.20370030726166122,835887,14,2005
737,0.16491045826617204,835887,15,2006
738,0.16109394392692553,835887,18,2007
739,0.14236053959122874,835887,20,2008
740,0.07628302040778524,835887,14,2009
741,0.07415851783716888,835887,18,2010
742,0.0889027545850991,835887,14,2011
743,0.1661247029398864,835887,11,2012
744,0.22201181895887512,835887,18,2013
745,0.13109273639063804,835887,23,2014
746,0.12295696695068944,835887,27,2015
747,0.22226481344065616,1507385,15,2011
748,0.1993427886724379,1507385,42,2012
749,0.2045844527269071,1507385,86,2013
750,0.18902815041384552,1507385,60,2014
751,0.18159985613396842,1507385,16,2015
752,0.34340830522998855,1092662,3,2004
753,0.23739251949719395,1092662,19,2005
754,0.18975808311847725,1092662,29,2006
755,0.2343327339824661,1092662,20,2007
756,0.23148387100536555,1092662,16,2008
757,0.23389872084416466,1092662,18,2009
758,0.435485680319679,1092662,13,2010
759,0.5840847632681616,1092662,16,2011
760,0.5806275436296794,1092662,25,2012
761,0.4817893954582162,1092662,26,2013
762,0.22340254525580666,1092662,17,2014
763,0.42921911616790004,1092662,16,2015
764,0.5373518821798823,1109357,2,2000
765,0.34812036484547443,1109357,8,2001
766,0.20074651341104194,1109357,21,2002
767,0.2236766094103485,1109357,12,2003
768,0.22946827625148178,1109357,9,2004
769,0.3202888638665154,1109357,14,2005
770,0.23098085286341233,1109357,19,2006
771,0.3174133101799248,1109357,11,2007
772,0.26421710750850996,1109357,13,2008
773,0.2918302242074337,1109357,22,2009
774,0.28985498314945385,1109357,20,2010
775,0.19209469204820684,1109357,18,2011
776,0.28541813116958004,1109357,15,2012
777,0.2371590716233874,1109357,6,2013
778,0.2761122818710719,1109357,8,2014
779,0.2236758900924011,1109357,20,2015
780,0.2547211290518107,1005210,3,1999
781,0.09953637500762007,1005210,3,2001
782,0.10643687601924316,1005210,5,2002
